epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
45,14856.5,1.47313,2.61927,1.86469,0.22213,0.20834,0.12449,0.04377,1.85198,3.05111,2.06818,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
46,15144.6,1.46031,2.61647,1.85643,0.22152,0.21085,0.12523,0.04387,1.85219,3.04893,2.06812,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
47,15434.8,1.46113,2.59331,1.85861,0.22225,0.2091,0.1261,0.044,1.85299,3.04805,2.06894,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
48,15723.1,1.45565,2.57802,1.85565,0.22023,0.20837,0.12648,0.04426,1.85434,3.04698,2.06974,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584
49,16010.5,1.45047,2.56807,1.8506,0.2214,0.2072,0.12678,0.04426,1.85485,3.04574,2.07031,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
50,16299.3,1.45619,2.56072,1.85496,0.22153,0.20862,0.12724,0.04441,1.85569,3.04399,2.07052,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548
51,16590,1.44996,2.54618,1.85133,0.21964,0.20911,0.12705,0.04447,1.85595,3.04343,2.07105,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,16879.7,1.44327,2.52296,1.8402,0.22084,0.2078,0.12745,0.04454,1.85689,3.04202,2.07163,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452
53,17166.8,1.44115,2.50512,1.83769,0.22145,0.20782,0.1276,0.0445,1.85807,3.0416,2.07251,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
54,17457.1,1.43611,2.48477,1.83352,0.22258,0.20815,0.12824,0.04468,1.85918,3.04159,2.07297,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416
55,17748.8,1.43443,2.46987,1.82926,0.22407,0.20626,0.12789,0.04482,1.86018,3.04202,2.07365,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
56,18038.5,1.43148,2.45363,1.82634,0.2233,0.20791,0.12828,0.04505,1.86144,3.04155,2.07445,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
57,18332.2,1.43063,2.44064,1.82075,0.22322,0.20757,0.12783,0.04498,1.86259,3.0417,2.0746,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
58,18627.3,1.41957,2.42221,1.81114,0.22109,0.20836,0.12789,0.04505,1.86413,3.04061,2.07541,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019
59,18920.5,1.41802,2.39711,1.81031,0.22181,0.20754,0.12829,0.04513,1.8658,3.04027,2.07622,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
60,19213,1.41059,2.3818,1.80139,0.22444,0.20747,0.12849,0.04524,1.86734,3.0396,2.07678,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899
61,19505.2,1.40676,2.35789,1.80269,0.22746,0.20837,0.12986,0.04557,1.86871,3.03922,2.07734,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
62,19797.1,1.39859,2.34159,1.79534,0.22814,0.20754,0.13016,0.04576,1.87006,3.03886,2.0785,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325
63,20081.6,1.39543,2.32712,1.79227,0.22976,0.20565,0.13009,0.04579,1.87163,3.03916,2.07924,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
64,20367.3,1.39646,2.30116,1.78674,0.23067,0.20679,0.13014,0.04583,1.87385,3.03957,2.08038,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412
65,20654.6,1.39167,2.28423,1.78183,0.23214,0.20461,0.13057,0.04597,1.87554,3.04074,2.08112,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
66,20943.4,1.38808,2.26873,1.77837,0.23025,0.20418,0.13081,0.04614,1.87757,3.04235,2.08199,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275
67,21232.6,1.38,2.24346,1.76969,0.23296,0.20431,0.1311,0.04618,1.88026,3.04394,2.08365,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532
68,21518.6,1.38119,2.23307,1.76756,0.23353,0.20251,0.1311,0.0462,1.88287,3.04549,2.08532,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024
69,21804,1.37058,2.212,1.76119,0.23226,0.20205,0.13067,0.04601,1.88572,3.04755,2.08723,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766
70,22091.3,1.37327,2.19383,1.76125,0.23527,0.20195,0.13063,0.0458,1.88872,3.0493,2.08905,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769
71,22377,1.36626,2.17403,1.75228,0.23607,0.20005,0.13012,0.04598,1.89205,3.05147,2.09147,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
72,22664,1.35545,2.15897,1.74473,0.23726,0.19846,0.13056,0.04598,1.89464,3.05438,2.09287,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611
73,22948.9,1.35241,2.13312,1.74124,0.23817,0.19703,0.13077,0.04621,1.8974,3.05734,2.09491,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475
74,23232.8,1.34809,2.10492,1.7324,0.23983,0.19706,0.13063,0.04621,1.90078,3.06025,2.09671,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651
75,23521.5,1.34549,2.10304,1.731,0.24224,0.19609,0.13038,0.04609,1.90363,3.06386,2.09853,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149
76,23809.8,1.33857,2.07375,1.72362,0.24252,0.19612,0.13026,0.04607,1.90693,3.06714,2.10043,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982
77,24102.8,1.33627,2.06572,1.71692,0.24177,0.19463,0.12971,0.04588,1.91048,3.07044,2.1027,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161
78,24393.5,1.32843,2.04919,1.71155,0.24177,0.1947,0.12947,0.04579,1.91425,3.07454,2.10485,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695
79,24678.7,1.32205,2.03033,1.7064,0.24027,0.19494,0.12801,0.04577,1.91795,3.07869,2.10718,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596
80,24969.9,1.319,2.00757,1.70028,0.2386,0.19289,0.12824,0.0459,1.92197,3.08351,2.10984,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873
81,25384.5,1.40382,1.94295,1.82987,0.23958,0.19108,0.12771,0.04565,1.92524,3.08875,2.11183,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
82,25673.1,1.39232,1.91641,1.82258,0.24158,0.19062,0.12769,0.04571,1.92891,3.09556,2.1145,0.00286785,0.000955951,0.00286785,0.000955951,0.00286785,0.000955951,0.00286785,0.000955951
83,25962.9,1.3829,1.88046,1.81355,0.24071,0.19106,0.12754,0.04564,1.93267,3.10238,2.11747,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577
84,26250.6,1.37709,1.86149,1.81054,0.24207,0.18904,0.1263,0.04551,1.93659,3.10979,2.12073,0.00236798,0.000789327,0.00236798,0.000789327,0.00236798,0.000789327,0.00236798,0.000789327
85,26539.1,1.37065,1.8461,1.80474,0.2381,0.18713,0.12539,0.04535,1.94069,3.11748,2.12434,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282
86,26823.3,1.36308,1.81725,1.79431,0.23725,0.18808,0.12595,0.04539,1.94529,3.12485,2.12841,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518
87,27110.2,1.35543,1.80428,1.78622,0.23797,0.18706,0.12617,0.04535,1.94942,3.13185,2.13209,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106
88,27399,1.35512,1.7876,1.78773,0.23963,0.18529,0.12599,0.0453,1.95439,3.13852,2.13615,0.00152134,0.000507115,0.00152134,0.000507115,0.00152134,0.000507115,0.00152134,0.000507115
89,27683.8,1.35132,1.77853,1.78128,0.23994,0.18544,0.12567,0.04505,1.95898,3.1451,2.13981,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606
90,27969.4,1.34094,1.75997,1.77259,0.23775,0.18573,0.12547,0.04505,1.96375,3.15265,2.14403,0.00117792,0.00039264,0.00117792,0.00039264,0.00117792,0.00039264,0.00117792,0.00039264
91,28253.6,1.34305,1.75202,1.77111,0.23745,0.18285,0.12538,0.04516,1.96792,3.16139,2.14732,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227
92,28541.4,1.33647,1.73781,1.76548,0.23834,0.18263,0.12522,0.04506,1.97227,3.16844,2.15091,0.000889639,0.000296546,0.000889639,0.000296546,0.000889639,0.000296546,0.000889639,0.000296546
93,28835.6,1.32973,1.7257,1.7586,0.23474,0.18258,0.12397,0.0449,1.97718,3.17661,2.15473,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513
94,29133.4,1.32579,1.72194,1.75854,0.23411,0.18283,0.12419,0.04469,1.98238,3.18382,2.15927,0.000657636,0.000219212,0.000657636,0.000219212,0.000657636,0.000219212,0.000657636,0.000219212
95,29428.2,1.32234,1.70729,1.7523,0.23535,0.18378,0.12375,0.04455,1.98768,3.19079,2.16384,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678
96,29717.6,1.32078,1.70018,1.74939,0.23419,0.18396,0.1234,0.04442,1.99363,3.19887,2.16927,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943
97,30012.9,1.3219,1.69781,1.7506,0.23044,0.18348,0.12155,0.04401,1.99971,3.20647,2.17432,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032
98,30309,1.3219,1.69904,1.75011,0.22917,0.18385,0.12186,0.04398,2.00573,3.2141,2.1795,0.000365905,0.000121968,0.000365905,0.000121968,0.000365905,0.000121968,0.000365905,0.000121968
99,30607.1,1.31666,1.68893,1.74383,0.22883,0.18201,0.12142,0.04377,2.01168,3.22175,2.1849,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768
100,30902.2,1.31604,1.68472,1.74468,0.22693,0.18156,0.12086,0.04375,2.01716,3.2302,2.19013,0.000307328,0.000102443,0.000307328,0.000102443,0.000307328,0.000102443,0.000307328,0.000102443
