epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,3855,2.08639,2.60017,1.7828,0.18365,0.18995,0.10493,0.03812,2.18201,2.82142,1.90608,0.0003862,0.0003862,0.0003862
64,4047.76,2.08456,2.60069,1.78218,0.18504,0.18918,0.10493,0.038,2.18227,2.82084,1.90627,0.0003763,0.0003763,0.0003763
65,4228.8,2.07205,2.5802,1.77473,0.18504,0.19015,0.10482,0.03802,2.18264,2.82043,1.90638,0.0003664,0.0003664,0.0003664
66,4415.1,2.07094,2.58167,1.7735,0.18618,0.18983,0.10517,0.03807,2.18258,2.82015,1.90636,0.0003565,0.0003565,0.0003565
67,4600.3,2.07137,2.57621,1.76921,0.18554,0.19069,0.10515,0.03804,2.18292,2.81944,1.90644,0.0003466,0.0003466,0.0003466
68,4787.09,2.06711,2.5695,1.76947,0.18412,0.1905,0.10512,0.038,2.18298,2.81921,1.90647,0.0003367,0.0003367,0.0003367
69,4968.21,2.06333,2.54754,1.7664,0.18432,0.19118,0.10527,0.03802,2.18328,2.81882,1.90632,0.0003268,0.0003268,0.0003268
70,5161.69,2.05372,2.53511,1.75752,0.18325,0.19202,0.10517,0.03805,2.18326,2.81903,1.90648,0.0003169,0.0003169,0.0003169
71,5336.67,2.05808,2.53603,1.75889,0.18319,0.19355,0.10517,0.03811,2.18344,2.81864,1.90648,0.000307,0.000307,0.000307
72,5513.96,2.05367,2.52769,1.75514,0.18278,0.19423,0.10509,0.03801,2.18396,2.81819,1.90666,0.0002971,0.0002971,0.0002971
73,5690.76,2.05021,2.50978,1.75306,0.18341,0.19359,0.10492,0.03798,2.18463,2.81815,1.90685,0.0002872,0.0002872,0.0002872
74,5874.38,2.04273,2.50466,1.74311,0.18268,0.19439,0.10497,0.03807,2.18531,2.81804,1.90704,0.0002773,0.0002773,0.0002773
75,6049.83,2.03777,2.49887,1.7449,0.18282,0.1956,0.10519,0.03819,2.18627,2.81795,1.90748,0.0002674,0.0002674,0.0002674
76,6224.22,2.03099,2.48589,1.73616,0.18388,0.19524,0.10525,0.03823,2.18687,2.81753,1.90766,0.0002575,0.0002575,0.0002575
77,6396.96,2.0304,2.48164,1.7391,0.18316,0.19547,0.10539,0.03834,2.18731,2.81685,1.90785,0.0002476,0.0002476,0.0002476
78,6569.73,2.02266,2.45903,1.73103,0.18418,0.19507,0.10554,0.03838,2.18787,2.81624,1.90806,0.0002377,0.0002377,0.0002377
79,6743.02,2.02039,2.45762,1.73044,0.1834,0.196,0.10599,0.03848,2.18832,2.81522,1.90848,0.0002278,0.0002278,0.0002278
80,6915.89,2.01228,2.45408,1.72821,0.18339,0.19519,0.10592,0.03845,2.1888,2.81452,1.90857,0.0002179,0.0002179,0.0002179
81,7088.35,2.01343,2.44514,1.72844,0.18232,0.19561,0.10574,0.03859,2.18968,2.81429,1.9092,0.000208,0.000208,0.000208
82,7260.21,2.01198,2.44414,1.72687,0.18238,0.19732,0.10569,0.03858,2.19016,2.81369,1.90954,0.0001981,0.0001981,0.0001981
83,7432.4,2.01678,2.44263,1.7231,0.18264,0.19618,0.10561,0.03861,2.19093,2.8141,1.90995,0.0001882,0.0001882,0.0001882
84,7604.54,2.00447,2.42415,1.71356,0.18248,0.19721,0.10593,0.03866,2.19186,2.81314,1.91024,0.0001783,0.0001783,0.0001783
85,7777.38,2.00566,2.42503,1.72002,0.18358,0.1966,0.10604,0.03875,2.19239,2.81372,1.9103,0.0001684,0.0001684,0.0001684
86,7950.15,2.01154,2.43062,1.72446,0.18392,0.19841,0.10622,0.03881,2.19294,2.81282,1.91082,0.0001585,0.0001585,0.0001585
87,8122.81,2.01655,2.43139,1.72562,0.18323,0.1996,0.10618,0.03886,2.1934,2.81215,1.91112,0.0001486,0.0001486,0.0001486
88,8295.18,2.01613,2.43697,1.72756,0.18371,0.19954,0.10636,0.03889,2.19423,2.8125,1.9116,0.0001387,0.0001387,0.0001387
89,8468.37,2.01443,2.42754,1.72097,0.18336,0.20138,0.10653,0.03897,2.19459,2.81274,1.9119,0.0001288,0.0001288,0.0001288
90,8641.43,2.00439,2.40425,1.71348,0.18431,0.20034,0.10648,0.039,2.19502,2.81183,1.91249,0.0001189,0.0001189,0.0001189
91,8830.98,1.98245,2.36659,1.75734,0.18464,0.2005,0.10647,0.03904,2.19636,2.81149,1.913,0.000109,0.000109,0.000109
92,9001.63,1.95142,2.31229,1.74116,0.18407,0.20101,0.10682,0.03904,2.19696,2.81025,1.9137,9.91e-05,9.91e-05,9.91e-05
93,9173.15,1.94927,2.29229,1.73942,0.18509,0.20038,0.10721,0.03918,2.19768,2.80914,1.91416,8.92e-05,8.92e-05,8.92e-05
94,9343.08,1.93946,2.2728,1.72939,0.18491,0.20174,0.10742,0.03918,2.19839,2.80773,1.91489,7.93e-05,7.93e-05,7.93e-05
95,9520.99,1.93196,2.26129,1.72457,0.18396,0.20185,0.10718,0.03921,2.19885,2.80679,1.91526,6.94e-05,6.94e-05,6.94e-05
96,9694.7,1.93019,2.25053,1.72297,0.18646,0.20075,0.10754,0.03929,2.19913,2.80602,1.91573,5.95e-05,5.95e-05,5.95e-05
97,9878.28,1.92459,2.24553,1.72106,0.18672,0.20008,0.10789,0.03939,2.19957,2.80503,1.91655,4.96e-05,4.96e-05,4.96e-05
98,10052,1.92047,2.23871,1.71943,0.18573,0.20051,0.10803,0.03953,2.20012,2.80442,1.91693,3.97e-05,3.97e-05,3.97e-05
99,10226.9,1.92146,2.2424,1.72265,0.18619,0.1988,0.10811,0.03959,2.20117,2.80333,1.91805,2.98e-05,2.98e-05,2.98e-05
100,10399.8,1.91663,2.22278,1.71339,0.1864,0.20035,0.10841,0.03972,2.2018,2.80278,1.91919,1.99e-05,1.99e-05,1.99e-05
